year,month,day,carrier,origin,dest,delayed
2013,1,1,UA,EWR,IAH,0
2013,1,1,UA,LGA,IAH,1
2013,1,1,AA,JFK,MIA,1
2013,1,1,B6,JFK,BQN,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,UA,EWR,ORD,0
2013,1,1,B6,EWR,FLL,1
2013,1,1,EV,LGA,IAD,0
2013,1,1,B6,JFK,MCO,0
2013,1,1,AA,LGA,ORD,0
2013,1,1,B6,JFK,PBI,0
2013,1,1,B6,JFK,TPA,0
2013,1,1,UA,JFK,LAX,0
2013,1,1,UA,EWR,SFO,0
2013,1,1,AA,LGA,DFW,1
2013,1,1,B6,JFK,BOS,0
2013,1,1,UA,EWR,LAS,0
2013,1,1,B6,LGA,FLL,0
2013,1,1,MQ,LGA,ATL,0
2013,1,1,B6,EWR,PBI,0
2013,1,1,DL,LGA,MSP,0
2013,1,1,MQ,LGA,DTW,1
2013,1,1,AA,EWR,MIA,0
2013,1,1,DL,JFK,ATL,0
2013,1,1,UA,EWR,MIA,0
2013,1,1,MQ,EWR,ORD,1
2013,1,1,UA,JFK,SFO,0
2013,1,1,B6,JFK,RSW,0
2013,1,1,B6,JFK,SJU,0
2013,1,1,DL,EWR,ATL,0
2013,1,1,US,EWR,PHX,0
2013,1,1,AA,LGA,MIA,0
2013,1,1,UA,LGA,IAH,0
2013,1,1,EV,EWR,MSP,1
2013,1,1,MQ,LGA,MSP,0
2013,1,1,US,JFK,PHX,0
2013,1,1,AA,JFK,SJU,0
2013,1,1,UA,EWR,LAX,1
2013,1,1,AA,LGA,ORD,0
2013,1,1,WN,LGA,BWI,0
2013,1,1,US,EWR,CLT,0
2013,1,1,EV,EWR,IAD,1
2013,1,1,AA,LGA,DFW,1
2013,1,1,B6,LGA,MCO,0
2013,1,1,B6,JFK,BOS,0
2013,1,1,UA,EWR,PBI,0
2013,1,1,US,EWR,CLT,0
2013,1,1,UA,EWR,FLL,0
2013,1,1,B6,JFK,BUF,0
2013,1,1,UA,LGA,DEN,0
2013,1,1,UA,EWR,SNA,0
2013,1,1,B6,JFK,LAS,0
2013,1,1,B6,JFK,MSY,0
2013,1,1,DL,LGA,PBI,0
2013,1,1,DL,JFK,SLC,0
2013,1,1,DL,JFK,SFO,0
2013,1,1,DL,LGA,MIA,0
2013,1,1,AA,LGA,ORD,0
2013,1,1,AA,JFK,MCO,0
2013,1,1,MQ,LGA,XNA,1
2013,1,1,UA,EWR,TPA,0
2013,1,1,DL,LGA,FLL,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,VX,JFK,LAX,0
2013,1,1,AA,LGA,MIA,0
2013,1,1,B6,JFK,FLL,0
2013,1,1,DL,LGA,DTW,0
2013,1,1,UA,EWR,RSW,0
2013,1,1,UA,EWR,SJU,0
2013,1,1,B6,JFK,LAX,1
2013,1,1,UA,LGA,ORD,1
2013,1,1,B6,JFK,SJU,0
2013,1,1,AA,JFK,FLL,0
2013,1,1,UA,EWR,ORD,1
2013,1,1,FL,LGA,MKE,0
2013,1,1,B6,JFK,MCO,0
2013,1,1,UA,EWR,PBI,0
2013,1,1,AA,LGA,DFW,1
2013,1,1,AS,EWR,SEA,0
2013,1,1,AA,EWR,DFW,0
2013,1,1,UA,EWR,DEN,0
2013,1,1,UA,LGA,IAH,0
2013,1,1,VX,JFK,SFO,0
2013,1,1,B6,JFK,ROC,0
2013,1,1,B6,LGA,RSW,0
2013,1,1,UA,EWR,MCO,1
2013,1,1,B6,JFK,SYR,0
2013,1,1,B6,JFK,SFO,0
2013,1,1,AA,LGA,ORD,0
2013,1,1,UA,EWR,IAH,1
2013,1,1,B6,LGA,TPA,0
2013,1,1,AA,JFK,LAX,0
2013,1,1,B6,JFK,SRQ,0
2013,1,1,DL,JFK,SEA,0
2013,1,1,AA,JFK,SFO,0
2013,1,1,UA,EWR,SFO,0
2013,1,1,MQ,EWR,ORD,1
2013,1,1,DL,LGA,MCO,0
2013,1,1,UA,LGA,DEN,0
2013,1,1,US,LGA,CLT,0
2013,1,1,AA,LGA,MIA,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,WN,LGA,DEN,1
2013,1,1,B6,EWR,MCO,0
2013,1,1,DL,JFK,MIA,0
2013,1,1,DL,LGA,MSP,0
2013,1,1,MQ,JFK,RDU,0
2013,1,1,B6,EWR,BOS,0
2013,1,1,AA,JFK,BOS,0
2013,1,1,UA,JFK,SFO,0
2013,1,1,DL,JFK,MCO,0
2013,1,1,B6,JFK,CLT,0
2013,1,1,B6,JFK,FLL,0
2013,1,1,MQ,LGA,CMH,0
2013,1,1,DL,JFK,ATL,0
2013,1,1,EV,EWR,JAX,0
2013,1,1,9E,JFK,MSP,0
2013,1,1,DL,LGA,PBI,0
2013,1,1,EV,EWR,CHS,0
2013,1,1,MQ,LGA,CLT,1
2013,1,1,US,EWR,CLT,0
2013,1,1,EV,EWR,MEM,1
2013,1,1,DL,LGA,DEN,0
2013,1,1,FL,LGA,ATL,1
2013,1,1,B6,JFK,PIT,1
2013,1,1,B6,JFK,SJU,0
2013,1,1,DL,JFK,BOS,0
2013,1,1,DL,JFK,SJU,0
2013,1,1,B6,JFK,SAN,1
2013,1,1,MQ,JFK,DCA,0
2013,1,1,EV,LGA,CLE,0
2013,1,1,US,JFK,CLT,0
2013,1,1,UA,EWR,DFW,1
2013,1,1,AA,LGA,STL,0
2013,1,1,B6,JFK,JAX,0
2013,1,1,AA,JFK,MIA,1
2013,1,1,UA,EWR,SFO,0
2013,1,1,B6,JFK,ORD,0
2013,1,1,UA,EWR,LAX,0
2013,1,1,UA,JFK,LAX,0
2013,1,1,UA,EWR,MCO,0
2013,1,1,AA,LGA,ORD,0
2013,1,1,MQ,LGA,ATL,0
2013,1,1,EV,EWR,MYR,0
2013,1,1,MQ,LGA,RDU,0
2013,1,1,F9,LGA,DEN,1
2013,1,1,AA,LGA,DFW,1
2013,1,1,MQ,LGA,CLE,0
2013,1,1,AA,JFK,SJU,0
2013,1,1,DL,JFK,DTW,0
2013,1,1,B6,EWR,RSW,0
2013,1,1,MQ,JFK,BWI,1
2013,1,1,UA,EWR,JAC,1
2013,1,1,EV,EWR,RDU,0
2013,1,1,DL,EWR,DTW,0
2013,1,1,UA,EWR,SAN,0
2013,1,1,WN,EWR,MDW,1
2013,1,1,B6,JFK,TPA,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,AA,JFK,LAX,0
2013,1,1,DL,LGA,MIA,0
2013,1,1,UA,EWR,PBI,0
2013,1,1,HA,JFK,HNL,0
2013,1,1,DL,LGA,DTW,0
2013,1,1,DL,EWR,ATL,0
2013,1,1,UA,EWR,SEA,0
2013,1,1,MQ,LGA,DTW,0
2013,1,1,DL,LGA,MCO,0
2013,1,1,VX,JFK,LAX,0
2013,1,1,UA,EWR,FLL,0
2013,1,1,UA,EWR,ORD,0
2013,1,1,MQ,LGA,BNA,1
2013,1,1,UA,EWR,MIA,0
2013,1,1,B6,JFK,AUS,1
2013,1,1,UA,EWR,DEN,1
2013,1,1,B6,JFK,BTV,0
2013,1,1,US,LGA,PHL,0
2013,1,1,UA,EWR,IAH,0
2013,1,1,AA,JFK,STT,1
2013,1,1,AA,JFK,MIA,1
2013,1,1,UA,EWR,MIA,0
2013,1,1,UA,EWR,STT,0
2013,1,1,AA,EWR,DFW,0
2013,1,1,UA,EWR,CLE,0
2013,1,1,AA,LGA,DFW,1
2013,1,1,B6,JFK,MCO,0
2013,1,1,B6,JFK,RDU,0
2013,1,1,B6,JFK,IAD,0
2013,1,1,MQ,LGA,CLT,1
2013,1,1,DL,JFK,LAX,1
2013,1,1,B6,JFK,BOS,0
2013,1,1,B6,EWR,SJU,0
2013,1,1,B6,JFK,PBI,0
2013,1,1,UA,EWR,EGE,0
2013,1,1,DL,LGA,RSW,0
2013,1,1,EV,EWR,DCA,0
2013,1,1,WN,EWR,DEN,1
2013,1,1,UA,EWR,TPA,1
2013,1,1,B6,LGA,FLL,0
2013,1,1,UA,LGA,ORD,0
2013,1,1,VX,JFK,LAS,0
2013,1,1,B6,JFK,BUF,0
2013,1,1,B6,JFK,FLL,1
2013,1,1,WN,LGA,MDW,0
2013,1,1,DL,LGA,TPA,0
2013,1,1,DL,LGA,SRQ,0
2013,1,1,B6,LGA,PBI,0
2013,1,1,WN,LGA,MKE,0
2013,1,1,AA,LGA,ORD,0
2013,1,1,MQ,LGA,ATL,0
2013,1,1,B6,JFK,LAX,0
2013,1,1,EV,EWR,AVL,0
2013,1,1,B6,JFK,PWM,0
2013,1,1,EV,EWR,STL,0
2013,1,1,MQ,LGA,BNA,0
2013,1,1,UA,EWR,LAX,1
2013,1,1,US,EWR,PHX,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,UA,EWR,BOS,1
2013,1,1,DL,LGA,FLL,0
2013,1,1,US,LGA,CLT,0
2013,1,1,B6,EWR,FLL,0
2013,1,1,US,JFK,PHX,1
2013,1,1,UA,EWR,DEN,0
2013,1,1,MQ,EWR,ORD,0
2013,1,1,DL,LGA,MSP,0
2013,1,1,US,EWR,CLT,0
2013,1,1,US,JFK,CLT,0
2013,1,1,EV,LGA,IAD,0
2013,1,1,DL,JFK,LAS,0
2013,1,1,FL,LGA,ATL,0
2013,1,1,EV,EWR,BUF,0
2013,1,1,MQ,LGA,RDU,0
2013,1,1,AA,LGA,DFW,1
2013,1,1,UA,EWR,MCO,1
2013,1,1,AA,JFK,LAX,0
2013,1,1,UA,LGA,IAH,0
2013,1,1,AA,JFK,SFO,1
2013,1,1,EV,EWR,CHS,0
2013,1,1,VX,JFK,SFO,0
2013,1,1,UA,EWR,FLL,0
2013,1,1,EV,EWR,IND,0
2013,1,1,UA,EWR,BOS,1
2013,1,1,AA,LGA,ORD,0
2013,1,1,UA,EWR,ORD,1
2013,1,1,B6,JFK,MCO,0
2013,1,1,EV,EWR,MKE,1
2013,1,1,UA,EWR,IAH,0
2013,1,1,UA,EWR,RSW,0
2013,1,1,AA,LGA,DFW,0
2013,1,1,DL,JFK,SLC,0
2013,1,1,MQ,LGA,DTW,0
2013,1,1,B6,LGA,FLL,0
2013,1,1,DL,LGA,ATL,0
2013,1,1,EV,EWR,PWM,0
2013,1,1,DL,LGA,TPA,0
2013,1,1,US,LGA,DCA,0
2013,1,1,WN,LGA,BWI,0
2013,1,1,MQ,JFK,DCA,0
2013,1,1,UA,EWR,LAS,0
2013,1,1,B6,EWR,PBI,1
2013,1,1,DL,LGA,MIA,0
2013,1,1,UA,EWR,SFO,1
2013,1,1,MQ,LGA,CMH,0
2013,1,1,AA,LGA,MIA,0
2013,1,1,B6,JFK,BTV,0
2013,1,1,UA,JFK,SFO,0
2013,1,1,DL,LGA,DTW,0
2013,1,1,UA,LGA,IAH,1
2013,1,1,EV,EWR,SAV,1
2013,1,1,WN,LGA,STL,0
2013,1,1,UA,LGA,DEN,1
2013,1,1,B6,JFK,SFO,1
2013,1,1,DL,LGA,RSW,0
2013,1,1,US,LGA,CLT,0
2013,1,1,EV,EWR,RDU,0
2013,1,1,UA,JFK,LAX,1
2013,1,1,UA,EWR,PBI,0
2013,1,1,UA,EWR,TPA,0
2013,1,1,AA,LGA,ORD,0
