ORIGIN,DEST,delayed,FL_COUNT,rate
ATL,AUS,4992,29335,17.017214930969832
ATL,BNA,5977,35506,16.83377457331155
ATL,BOS,11420,57606,19.824323855153978
ATL,BWI,11378,65099,17.47799505368746
ATL,CLT,12004,67837,17.695357990477174
ATL,CVG,3416,24931,13.701817014961293
ATL,DAL,3192,17343,18.40512022141498
ATL,DCA,12620,69734,18.097341325608742
ATL,DEN,10039,54451,18.436759655470055
ATL,DFW,14020,79856,17.5566018833901
ATL,DTW,8507,51946,16.376621876564123
ATL,EWR,17163,57567,29.813955912241386
ATL,FLL,14124,77588,18.203845955560137
ATL,HOU,7777,41122,18.912017897962162
ATL,IAD,7125,40600,17.549261083743843
ATL,IAH,9776,48076,20.334470421832098
ATL,JFK,5358,22862,23.436269792669055
ATL,LAS,7535,44162,17.06218015488429
ATL,LAX,11395,56044,20.332238955106703
ATL,LGA,23949,93956,25.489590872323216
ATL,MCI,6214,38950,15.953786906290116
ATL,MCO,16132,90699,17.786304148888078
ATL,MDW,8799,48142,18.27718000913963
ATL,MIA,10495,61184,17.15317730125523
ATL,MSP,8720,53647,16.25440378772345
ATL,MSY,8667,54613,15.869847838426749
ATL,OAK,348,1471,23.657375934738273
ATL,ORD,16330,71845,22.72948709026376
ATL,PDX,1850,12235,15.120555782590927
ATL,PHL,13799,67487,20.446900884614816
ATL,PHX,6046,38696,15.624353938391566
ATL,RDU,7962,52856,15.06356894203118
ATL,SAN,3303,21632,15.269045857988164
ATL,SEA,4608,28605,16.109071840587312
ATL,SFO,7248,33003,21.961639850922644
ATL,SJC,807,4766,16.93243810323122
ATL,SLC,4112,28365,14.49673893883307
ATL,STL,6399,40090,15.961586430531305
ATL,TPA,12726,72582,17.533272712242702
AUS,ATL,4403,29331,15.011421363062972
AUS,BNA,1013,7215,14.04019404019404
AUS,BOS,1447,5197,27.84298633827208
AUS,BWI,1166,7479,15.590319561438696
AUS,CLT,1186,9848,12.043054427294882
AUS,CVG,84,440,19.090909090909093
AUS,DAL,6015,37974,15.839785116132092
AUS,DCA,383,2368,16.173986486486484
AUS,DEN,4688,27888,16.810097532989097
